Product,Product_Type
2K7 Solution W-M,Bactericides
2K7 Water Soluble Paks,Bactericides
Activated Carbon,Surfactant
AE851,Flocculant
Alcomer 758 (Zetag 7587),Flocculant
Alcomer 60,Shale Inhibitor
Alkapam 1103D,Flocculant
Alkapam A1103D,Flocculant
Alkapam A-1103D,Flocculant
Alkapam A1703D,Flocculant
Alkapam N1003D,Flocculant
"Alpha-Seal C, M",Lost Circulation Material 
Aluminum Powder 200,Cementing Chemical
Aqua-Star Ex,Filtrate Reducer
Aquatreat H2S,H2S Scavenger
Arbo S01P,Cementing Chemical
Arlox Hs 600 Drum,H2S Scavenger
Arlox Hs 705 Drum,H2S Scavenger
Barite,Weighting Material 
Base Oil,Oil Based Mud
Bentone 150,Viscosifiers
Bentone 910,Viscosifiers
Bentonite - High Yield (Super Gel-X),Viscosifiers
Bentonite - Natural,Viscosifiers
Bentonite - Regular,Viscosifiers
Bicarbonate Of Soda,Alkalinity Control
Bleach,Bactericides
Brine,Brine Based Mud
Bupher,Alkalinity Control
C 107 (Esf-100),Flocculant 
Cal Carb 0,Weighting Material 
Cal Carb 325,Weighting Material 
Cal Carb Poultry Grit,Weighting Material 
Cal Carb Supercal-Glsrk,Weighting Material 
Cal Chloride 94% Mini Prill,Calcium Source
Cal Chlr Ht 94% Prill,Calcium Source
"Calcium Carbonate ""0""",Weighting Material 
"Calcium Carbonate ""325""",Weighting Material 
"Calcium Carbonate ""Pg""",Weighting Material 
"Calcium Carbonate ""Supercal""",Weighting Material 
Calcium Carbonate 0,Weighting Material 
Calcium Carbonate 325,Weighting Material 
Calcium Carbonate Flake,Weighting Material 
Calcium Carbonate Pg,Weighting Material 
Calcium Carbonate Supercal,Weighting Material 
Calcium Chloride 94%,Calcium Source
Calcium Chloride 94% Powder,Calcium Source
Calcium Chloride 94% Powder ,Calcium Source
Calcium Chloride Ht Fine 40 Kg,Calcium Source
Calcium Chloride Powder,Calcium Source
Calcium Chloride Brine,Calcium Brine
Calcium Nitrate,Calcium Source
Calcium Nitrate Envirofloc,Calcium Source
Calcium Nitrate Envirofloc,Calcium Source
Canamara Red,Specialty Additives
Can-Break Eca,Polymer Breaker
Can-Free,Surfactant
Carbonite,Filtrate Reducer
Carboseal,Filtrate Reducer
Caustic Potash,Alkalinity Control
Caustic Soda,Alkalinity Control
Caustic Soda Beads,Alkalinity Control
Cellophane,Lost Circulation Material 
Cement Mircofine,Cementing Chemical
Cera,Lost Circulation Material 
Cf Desco Ii,Thinners/Dispersant
Cf Desco II,Thinners/Dispersant
Chem Clean Green,Surfactant
Chembreak Eca,Polymer Breaker
